item_id,pedido_id,produto,categoria,quantidade,preco_unitario
1,1,Monitor,Eletronicos,2,360.68
2,1,Mouse,Eletronicos,3,42.2
3,2,Caderno,Papelaria,2,7.36
4,2,Calca,Moda,4,45.38
5,2,Monitor,Eletronicos,2,288.2
6,2,Teclado,Eletronicos,3,39.81
7,3,Camiseta,Moda,1,31.67
8,4,Luminaria,Casa,4,86.38
9,4,Calca,Moda,2,49.82
10,5,Mesa,Casa,2,168.13
11,5,Notebook,Eletronicos,2,1220.38
12,6,Luminaria,Casa,1,45.26
13,6,Teclado,Eletronicos,4,41.43
14,6,Notebook,Eletronicos,2,1086.84
15,7,Notebook,Eletronicos,2,1944.06
16,7,Caderno,Papelaria,2,10.53
17,7,Jaqueta,Moda,1,98.91
18,7,Teclado,Eletronicos,3,64.42
19,8,Monitor,Eletronicos,3,286.36
20,8,Calca,Moda,2,49.65
21,8,Mesa,Casa,3,180.06
22,8,Notebook,Eletronicos,3,1172.71
23,9,Mesa,Casa,1,243.8
24,9,Notebook,Eletronicos,3,1820.13
25,9,Jaqueta,Moda,4,99.99
26,10,Monitor,Eletronicos,2,523.83
27,10,Sofa,Casa,1,861.78
28,10,Jaqueta,Moda,3,119.14
29,11,Jaqueta,Moda,3,106.14
30,11,Livro,Books,2,20.81
31,11,Livro,Books,4,19.91
32,12,Monitor,Eletronicos,2,290.72
33,12,Camiseta,Moda,4,22.2
34,12,Caderno,Papelaria,2,5.49
35,13,Notebook,Eletronicos,3,3348.96
36,13,Caderno,Papelaria,2,16.03
37,14,Livro,Books,3,22.39
38,14,Notebook,Eletronicos,1,2054.3
39,14,Mouse,Eletronicos,1,49.8
40,14,Jaqueta,Moda,3,116.78
41,14,Mesa,Casa,3,267.81
42,15,Sofa,Casa,3,461.65
43,15,Teclado,Eletronicos,4,80.42
44,15,Caderno,Papelaria,4,8.88
45,16,Caderno,Papelaria,4,12.19
46,16,Sofa,Casa,4,913.45
47,16,Mouse,Eletronicos,2,69.27
48,16,Mesa,Casa,1,352.68
49,16,Sofa,Casa,1,788.91
50,17,Calca,Moda,4,69.52
51,17,Teclado,Eletronicos,1,92.76
52,17,Notebook,Eletronicos,3,2279.43
53,17,Mesa,Casa,3,329.79
54,17,Sofa,Casa,1,845.18
55,18,Livro,Books,3,18.35
56,18,Monitor,Eletronicos,2,444.86
57,18,Livro,Books,1,25.13
58,19,Mesa,Casa,4,390.06
59,20,Teclado,Eletronicos,3,57.23
60,20,Calca,Moda,4,35.16
61,20,Teclado,Eletronicos,1,43.01
62,20,Livro,Books,1,14.98
63,20,Livro,Books,1,19.15
64,21,Teclado,Eletronicos,2,58.15
65,22,Teclado,Eletronicos,2,64.97
66,22,Camiseta,Moda,3,22.96
67,22,Sofa,Casa,4,492.36
68,23,Jaqueta,Moda,3,72.96
69,24,Mesa,Casa,2,326.03
70,24,Jaqueta,Moda,1,132.99
71,24,Livro,Books,3,27.02
72,24,Luminaria,Casa,1,92.54
73,25,Livro,Books,3,31.37
74,25,Camiseta,Moda,2,56.49
75,26,Mouse,Eletronicos,2,72.13
76,26,Calca,Moda,4,87.09
77,26,Luminaria,Casa,1,122.6
78,26,Teclado,Eletronicos,2,143.65
79,27,Teclado,Eletronicos,4,82.71
80,27,Monitor,Eletronicos,2,516.73
81,28,Mouse,Eletronicos,2,30.83
82,28,Monitor,Eletronicos,4,373.82
83,28,Mesa,Casa,1,231.35
84,28,Calca,Moda,3,52.17
85,28,Mouse,Eletronicos,1,41.71
86,29,Livro,Books,3,11.34
87,29,Mesa,Casa,3,150.41
88,29,Calca,Moda,1,29.51
89,30,Notebook,Eletronicos,3,2036.29
90,31,Jaqueta,Moda,2,215.72
91,31,Mouse,Eletronicos,1,55.9
92,31,Monitor,Eletronicos,2,740.12
93,32,Mouse,Eletronicos,3,71.91
94,32,Mesa,Casa,4,604.24
95,32,Livro,Books,3,41.54
96,32,Calca,Moda,1,97.12
97,33,Camiseta,Moda,3,48.34
98,34,Mouse,Eletronicos,4,27.91
99,34,Notebook,Eletronicos,3,1464.11
100,34,Caderno,Papelaria,4,8.11
101,35,Camiseta,Moda,4,27.01
102,36,Mouse,Eletronicos,1,28.76
103,36,Mouse,Eletronicos,2,41.8
104,36,Monitor,Eletronicos,4,473.97
105,36,Livro,Books,1,17.7
106,36,Calca,Moda,2,46.89
107,37,Caderno,Papelaria,3,15.57
108,37,Caderno,Papelaria,4,10.5
109,38,Mesa,Casa,3,169.94
110,38,Caderno,Papelaria,2,7.09
111,38,Caderno,Papelaria,1,5.06
112,39,Luminaria,Casa,4,61.39
113,39,Mesa,Casa,3,321.79
114,39,Camiseta,Moda,3,34.72
115,40,Monitor,Eletronicos,3,404.71
116,40,Mouse,Eletronicos,2,35.27
117,40,Teclado,Eletronicos,1,59.88
118,40,Caderno,Papelaria,4,8.91
119,40,Mouse,Eletronicos,1,33.22
120,41,Monitor,Eletronicos,3,560.6
121,42,Mouse,Eletronicos,1,54.68
122,42,Monitor,Eletronicos,3,639.12
123,43,Monitor,Eletronicos,3,345.3
124,43,Caderno,Papelaria,3,9.98
125,43,Mesa,Casa,2,318.34
126,44,Luminaria,Casa,3,78.36
127,44,Caderno,Papelaria,3,8.02
128,45,Calca,Moda,3,68.71
129,45,Teclado,Eletronicos,3,81.21
130,45,Caderno,Papelaria,1,10.98
131,45,Camiseta,Moda,1,37.51
132,45,Calca,Moda,4,51.82
133,46,Mesa,Casa,4,261.85
