pedido_id,cliente_id,data_pedido,valor_total,status
1,414,2025-08-23,847.97,aprovado
2,92,2025-11-16,892.07,aprovado
3,90,2025-08-29,31.67,aprovado
4,83,2025-08-25,445.17,aprovado
5,453,2025-11-01,2777.02,cancelado
6,436,2025-11-20,2384.68,aprovado
7,130,2025-08-10,4201.34,cancelado
8,213,2025-10-15,5016.7,aprovado
9,409,2025-08-26,6104.16,aprovado
10,738,2025-06-09,2266.86,aprovado
11,329,2025-09-02,439.67,aprovado
12,5,2025-12-08,681.21,aprovado
13,4,2025-02-27,10078.93,aprovado
14,271,2025-08-02,3325.02,aprovado
15,405,2025-09-02,1742.17,cancelado
16,257,2025-04-17,4982.72,aprovado
17,546,2025-05-21,9043.67,aprovado
18,120,2025-09-06,969.91,aprovado
19,141,2025-03-18,1560.24,aprovado
20,630,2025-11-08,389.47,cancelado
21,751,2025-11-05,116.31,cancelado
22,47,2025-10-27,1439.63,aprovado
23,343,2025-12-06,218.88,aprovado
24,19,2025-05-28,958.66,aprovado
25,207,2025-03-09,,cancelado
26,660,2025-01-19,902.51,aprovado
27,103,2025-08-12,1364.28,aprovado
28,689,2025-09-16,1986.51,cancelado
29,52,2025-12-06,514.73,aprovado
30,544,2025-05-14,6108.88,aprovado
31,389,2025-01-10,1967.58,aprovado
32,661,2025-01-01,2854.44,aprovado
33,225,2025-05-17,145.01,aprovado
34,456,2025-09-25,4536.42,aprovado
35,241,2025-11-06,108.04,aprovado
36,465,2025-09-08,2119.73,aprovado
37,441,2025-05-27,88.72,aprovado
38,396,2025-11-20,529.04,aprovado
39,485,2025-08-29,1315.08,aprovado
40,338,2025-09-19,1413.42,aprovado
41,5,2025-04-10,1681.79,cancelado
42,318,2025-03-30,1972.03,cancelado
43,257,2025-09-03,1702.52,aprovado
44,620,2025-08-06,259.13,aprovado
45,132,2025-08-12,705.52,aprovado
46,95,2025-09-01,2418.23,aprovado
47,681,2025-05-29,631.82,devolvido
48,422,2025-09-26,1201.29,aprovado
49,248,2025-09-17,1246.67,devolvido
50,759,2025-10-02,3131.49,devolvido
51,659,2025-09-26,2792.9,cancelado
52,740,2025-01-17,89.81,aprovado
53,511,2025-03-11,8654.77,aprovado
54,525,2025-05-11,701.98,aprovado
55,491,2025-01-01,47.56,aprovado
56,730,2025-01-10,531.28,aprovado
57,7,2025-03-21,1395.08,aprovado
58,705,2025-09-01,1430.54,devolvido
59,236,2025-06-24,9.58,aprovado
60,269,2025-08-13,310.86,aprovado
61,755,2025-03-28,3455.35,aprovado
62,532,2025-09-07,,aprovado
63,447,2025-06-10,1873.06,cancelado
64,1,2025-02-27,320.07,aprovado
65,786,2025-04-13,5116.04,aprovado
66,356,2025-06-22,97.33,aprovado
67,219,2025-09-02,193.31,cancelado
68,93,2025-06-19,,aprovado
69,382,2025-08-12,279.09,aprovado
70,81,2025-02-14,108.65,aprovado
